"heuristic","graph","size","runtime","memusg"
"MERZ1999GLS","ER.txt",3000,13.614977,8088
"MERZ1999MUTATE","ER.txt",3000,13.614977,13128
"MERZ1999CROSS","ER.txt",3000,13.614977,13024
"PALUBECKIS2006","ER.txt",3000,13.614977,3548
"KATAYAMA2001","ER.txt",3000,13.614977,3720
"LU2010","ER.txt",3000,13.614977,3456
"PARDALOS2008","ER.txt",3000,13.614977,45476
"GLOVER2010","ER.txt",3000,13.614977,3580
"LAGUNA2009CE","ER.txt",3000,13.614977,20516
"LAGUNA2009HCE","ER.txt",3000,13.614977,7076
"BEASLEY1998SA","ER.txt",3000,13.614977,3276
"BEASLEY1998TS","ER.txt",3000,13.614977,3456
"MERZ2002GREEDY","ER.txt",3000,13.614977,2956
"MERZ2002ONEOPT","ER.txt",3000,13.614977,3088
"MERZ2002KOPT","ER.txt",3000,13.614977,2976
"MERZ2002GREEDYKOPT","ER.txt",3000,13.614977,3012
"KATAYAMA2000","ER.txt",3000,13.614977,3028
"MERZ2004","ER.txt",3000,13.614977,8532
"ALKHAMIS1998","ER.txt",3000,13.614977,5892
"HASAN2000GA","ER.txt",3000,13.614977,8212
"HASAN2000TS","ER.txt",3000,13.614977,2944
"LODI1999","ER.txt",3000,13.614977,8576
"GLOVER1998a","ER.txt",3000,13.614977,5852
"BURER2002","ER.txt",10000,150.341619,6280
"FESTA2002G","ER.txt",10000,150.341619,4932
"FESTA2002GPR","ER.txt",10000,150.341619,10544
"FESTA2002VNS","ER.txt",10000,150.341619,4380
"FESTA2002VNSPR","ER.txt",10000,150.341619,9396
"FESTA2002GVNS","ER.txt",10000,150.341619,4808
"FESTA2002GVNSPR","ER.txt",10000,150.341619,10020
"DUARTE2005","ER.txt",10000,150.341619,18424
"PALUBECKIS2004bMST1","ER.txt",10000,150.341619,8076
"PALUBECKIS2004bMST2","ER.txt",10000,150.341619,10716
"PALUBECKIS2004bMST3","ER.txt",10000,150.341619,6412
"PALUBECKIS2004bMST4","ER.txt",10000,150.341619,33156
"PALUBECKIS2004bMST5","ER.txt",10000,150.341619,15820
"PALUBECKIS2004bSTS","ER.txt",10000,150.341619,6228
"MERZ1999GLS","ER.txt",10000,150.341619,26488
"MERZ1999MUTATE","ER.txt",10000,150.341619,43820
"MERZ1999CROSS","ER.txt",10000,150.341619,41612
"PALUBECKIS2006","ER.txt",10000,150.341619,10560
"KATAYAMA2001","ER.txt",10000,150.341619,10716
"LU2010","ER.txt",10000,150.341619,7812
"PARDALOS2008","ER.txt",10000,150.341619,313260
"GLOVER2010","ER.txt",10000,150.341619,7876
"LAGUNA2009CE","ER.txt",10000,150.341619,244756
"LAGUNA2009HCE","ER.txt",10000,150.341619,64156
"BEASLEY1998SA","ER.txt",10000,150.341619,10716
"BEASLEY1998TS","ER.txt",10000,150.341619,10724
"MERZ2002GREEDY","ER.txt",10000,150.341619,5964
"MERZ2002ONEOPT","ER.txt",10000,150.341619,5964
"MERZ2002KOPT","ER.txt",10000,150.341619,5704
"MERZ2002GREEDYKOPT","ER.txt",10000,150.341619,5968
"KATAYAMA2000","ER.txt",10000,150.341619,6228
"MERZ2004","ER.txt",10000,150.341619,24496
"ALKHAMIS1998","ER.txt",10000,150.341619,25764
"HASAN2000GA","ER.txt",10000,150.341619,38700
"HASAN2000TS","ER.txt",10000,150.341619,6496
"LODI1999","ER.txt",10000,150.341619,29608
"GLOVER1998a","ER.txt",10000,150.341619,25764
"BURER2002","ER.txt",30000,1338.060959,15768
"FESTA2002G","ER.txt",30000,1338.060959,11016
"FESTA2002GPR","ER.txt",30000,1338.060959,29128
"FESTA2002VNS","ER.txt",30000,1338.060959,11808
"FESTA2002VNSPR","ER.txt",30000,1338.060959,26064
"FESTA2002GVNS","ER.txt",30000,1338.060959,11544
"FESTA2002GVNSPR","ER.txt",30000,1338.060959,27764
"DUARTE2005","ER.txt",30000,1338.060959,52416
"PALUBECKIS2004bMST1","ER.txt",30000,1338.060959,29900
"PALUBECKIS2004bMST2","ER.txt",30000,1338.060959,29904
